iter	Passed	Remaining
908	4869	487
909	4874	482
910	4879	476
911	4884	471
912	4888	465
913	4894	460
914	4899	455
915	4904	449
916	4910	444
917	4915	439
918	4919	433
919	4925	428
920	4930	422
921	4934	417
922	4939	412
923	4944	406
924	4948	401
925	4952	395
926	4957	390
927	4962	385
928	4966	379
929	4972	374
930	4978	368
931	4985	363
932	4993	358
933	4998	353
934	5003	347
935	5009	342
936	5014	337
937	5022	332
938	5029	326
939	5036	321
940	5042	316
941	5047	310
942	5052	305
943	5058	300
944	5065	294
945	5098	291
946	5124	286
947	5143	282
948	5150	276
949	5157	271
950	5172	266
951	5179	261
952	5187	255
953	5194	250
954	5204	245
955	5211	239
956	5218	234
957	5224	229
958	5231	223
959	5238	218
960	5245	212
961	5253	207
962	5261	202
963	5269	196
964	5275	191
965	5282	185
966	5289	180
967	5294	175
968	5301	169
969	5309	164
970	5318	158
971	5327	153
972	5335	148
973	5343	142
974	5352	137
975	5359	131
976	5366	126
977	5373	120
978	5381	115
979	5388	109
980	5394	104
981	5401	99
982	5407	93
983	5414	88
984	5421	82
985	5429	77
986	5435	71
987	5443	66
988	5450	60
989	5456	55
990	5464	49
991	5470	44
992	5476	38
993	5482	33
994	5487	27
995	5493	22
996	5498	16
997	5504	11
998	5510	5
999	5516	0
